TIMESTAMP,PHRASE
12-02-2015-1144,That can’t be the Senator on that sextape.
12-02-2015-1434,Rap music inspires violence in teenagers.
12-02-2015-1542,A fair compromise would be to split the bill in half.
12-03-2015-1612,"If you don't get a degree, you won't get a good job."
12-05-2015-1317,I'm going to carry on smoking.
12-05-2015-1516,No one is above the law. But I wouldn't rat on anybody
12-07-2015-1614,The Iraqi regime possesses and produces chemical and biological weapons.
12-07-2015-1616,What's the point of these anti-drunk driving campaign?
12-07-2015-1644,"The former dictator is an old, dying man."
12-08-2015-1158,"If you get a degree, you'll get a good job."
12-08-2015-1631,Faith in God is like believing in Santa Claus and the Tooth Fairy.
12-09-2015-1131,Milk is good for your bones.
12-09-2015-1335,Before you know it there will be more mosques than churches.
12-09-2015-1632,I just got cut up by the woman driver in front.
12-09-2015-1715,Don't you just hate how those rich Liberal Hollywood actors go on TV to promote their agendas?
12-10-2015-1057,"After a court decision to legalise gay marriage, school libraries were required to stock same-sex literature."
12-10-2015-1254,Marriage is the union between man and women.
12-11-2015-1300,I rear ended your car but I don't think I should pay for the damage.
12-12-2015-1101,Those young men rioted because they lacked morally responsible fathers.
12-12-2015-1519,Nobody has proved to me there is a God.
12-14-2015-1232,Oh you want to relax the anti-terrorism laws just like the terrorists want us to do.
12-15-2015-1709,"We had the 60s sexual revolution, and now people are dying of AIDS."
12-16-2015-1627,I did not have sexual relations with that woman
12-17-2015-1211,"Stripping privacy rights only matters to those with something to hide. "
12-17-2015-1758,Women can't drive.
12-18-2015-1022,"Of course, mainstream liberal media aren't going to say Barack Obama is a Muslim."
12-18-2015-1121,Therefore all shoe companies are evil child-slave owners!
12-18-2015-1533,Marriage often results in the birth of children.
12-18-2015-1603,There are billions of galaxies with billions of stars in the universe.
12-19-2015-1341,"After all, there are senators who have done far worse things."
12-19-2015-1359,"Sure - the conditions in this prison are cruel and dehumanising, but these inmates are criminals!"
12-20-2015-1155,Since the election of the President more people than ever are unemployed.
12-20-2015-1316,It's obvious 9-11 was a American-government led conspiracy to justify war in Iraq and Afghanistan.
12-20-2015-1559,Intelligent and sophisticated readers will of course recognise a fallacy like this when they read one.
12-21-2015-1242,Recent terrorist attacks have been carried out by radical Islamic groups.
12-22-2015-1613,He lied because he’s possessed by demons.
12-23-2015-1419,This bank has some problems with corruption.
12-23-2015-1424,You must have something to hide if you oppose privacy protection.
12-23-2015-1516,A theory can mean an unproven idea.
12-24-2015-1258,"If it costs more, it must be better"
12-25-2015-1134,"If we legalize marijuana, more people will start using crack and heroin."
12-25-2015-1332,A study into the health risks of mobile phones involved mobile phone companies.
12-26-2015-1128,Over 400 prominent scientists and engineers dispute global warming.
12-26-2015-1510,"So you're saying Israel doesn't have the right to be a nation? "
12-27-2015-1028,My grandfather smoked 40 a day and he lived until he was 90.
12-27-2015-1240,We're going to have to cut the education budget or go deeper into debt.
12-27-2015-1359,This large shoe manufacturer employs children in sweatshops.
12-27-2015-1602,That's perhaps true for you. But it's not true for me.
12-27-2015-1659,People are still going to drink and drive no matter what.
12-28-2015-1053,I maintain long-term solar cycles are the cause of global warming.
12-28-2015-1419,You say Israel should stop building settlements on the West Bank in violation of treaty.
12-28-2015-1558,They say that it takes 7 years to digest chewing gum.
12-29-2015-1331,The latest version of this operating system is going to make my computer faster and better..
12-29-2015-1411,"Many Conservatives wish to ban gay marriage, discredit climate change, and deny evolution."
12-29-2015-1414,She wants birth control in her medical cover!
12-29-2015-1517,The President wouldn't lie.
12-29-2015-1522,"Scientists use the term evolutionary theory. "
12-29-2015-1736,The eye is an incredibly complex biomechanical machine with thousands of interlocking parts.
12-30-2015-1443,Teenagers in gangs listen to rap music with violent themes.
12-30-2015-1552,Our website poll found that 90% of internet users oppose online piracy laws.
12-30-2015-1604,I've flipped this coin 10 times in a row and it's been heads.
12-31-2015-1417,"If we label food with warning labels, it will encourage people to eat more healthily"
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,Here's another line
